,state,abb,region,population,total
0,Alabama,AL,South,4779736,135
1,Alaska,AK,West,710231,19
2,Arizona,AZ,West,6392017,232
3,Arkansas,AR,South,2915918,93
4,California,CA,West,37253956,1257
5,Colorado,CO,West,5029196,65
6,Connecticut,CT,Northeast,3574097,97
7,Delaware,DE,South,897934,38
8,District of Columbia,DC,South,601723,99
9,Florida,FL,South,19687653,669
10,Georgia,GA,South,9920000,376
11,Hawaii,HI,West,1360301,7
12,Idaho,ID,West,1567582,12
13,Illinois,IL,North Central,12830632,364
14,Indiana,IN,North Central,6483802,142
15,Iowa,IA,North Central,3046355,21
16,Kansas,KS,North Central,2853118,63
17,Kentucky,KY,South,4339367,116
18,Louisiana,LA,South,4533372,351
19,Maine,ME,Northeast,1328361,11
20,Maryland,MD,South,5773552,293
21,Massachusetts,MA,Northeast,6547629,118
22,Michigan,MI,North Central,9883640,413
23,Minnesota,MN,North Central,5303925,53
24,Mississippi,MS,South,2967297,120
25,Missouri,MO,North Central,5988927,321
26,Montana,MT,West,989415,12
27,Nebraska,NE,North Central,1826341,32
28,Nevada,NV,West,2700551,84
29,New Hampshire,NH,Northeast,1316470,5
30,New Jersey,NJ,Northeast,8791894,246
31,New Mexico,NM,West,2059179,67
32,New York,NY,Northeast,19378102,517
33,North Carolina,NC,South,9535483,286
34,North Dakota,ND,North Central,672591,4
35,Ohio,OH,North Central,11536504,310
36,Oklahoma,OK,South,3751351,111
37,Oregon,OR,West,3831074,36
38,Pennsylvania,PA,Northeast,12702379,457
39,Rhode Island,RI,Northeast,1052567,16
40,South Carolina,SC,South,4625364,207
41,South Dakota,SD,North Central,814180,8
42,Tennessee,TN,South,6346105,219
43,Texas,TX,South,25145561,805
44,Utah,UT,West,2763885,22
45,Vermont,VT,Northeast,625741,2
46,Virginia,VA,South,8001024,250
47,Washington,WA,West,6724540,93
48,West Virginia,WV,South,1852994,27
49,Wisconsin,WI,North Central,5686986,97
50,Wyoming,WY,West,563626,5
